"SUID","639_1","639_2","639_2_B","639_3","Common_Twitter_Wiki_Code","Documentation","Element_Scope","Family_Code","Family_Name","Final_Name","Lang_Name","Language_Type","LogNumSpeaker","name","Num_Speakers_M","Partner_Agency","Primary_Family_Code","Primary_Family_Name","Reference_Name","selected","shared name","Status","Twitter_CLD_Only_Code","Viz_Family_Code","Viz_Family_Name","Wiki_Only_Code"
"936","","","","xsm","","SIL","I","","","Kasem","","L",,"xsm",,"SIL","","Niger-Kordofanian","Kasem","false","xsm","A","","","",""
"937","wo","wol","","wol","wo","SIL","I","nic","Niger-Kordofanian","Wolof","Wolof","L","6.6020599913279625","wol","4.0","JAC","nic","Niger-Kordofanian","Wolof","false","wol","A","","nic","Niger-Kordofanian",""
"938","wa","wln","","wln","","SIL","I","itc","Italic","Walloon","Walloon","L","5.778151250383644","wln","0.6","JAC","ine","Indo-European","Walloon","false","wln","A","","itc","Italic","wa"
"939","ro","ron","rum","ron","ro","SIL","I","itc","Italic","Romanian","Romanian","L","7.447158031342219","ron","28.0","JAC","ine","Indo-European","Romanian","false","ron","A","","itc","Italic",""
"940","","","","rcf","","SIL","I","","","Réunion Creole French","","L",,"rcf",,"SIL","","Creoles and pidgins","Réunion Creole French","false","rcf","A","","","",""
"941","","","","pcd","","SIL","I","itc","Italic","Picard","Picard","L","5.845098040014257","pcd","0.7","SIL","ine","Indo-European","Picard","false","pcd","A","","itc","Italic",""
"942","oc","oci","","oci","oc","SIL","I","itc","Italic","Occitan (post 1500)","Occitan","L","6.301029995663981","oci","2.0","JAC","ine","Indo-European","Occitan (post 1500)","false","oci","A","","itc","Italic",""
"943","","","","nnh","","SIL","I","","","Ngiemboon","","L",,"nnh",,"SIL","","Niger-Kordofanian","Ngiemboon","false","nnh","A","","","",""
"944","","","","muy","","SIL","I","","","Muyang","","L",,"muy",,"SIL","","Afro-Asiatic","Muyang","false","muy","A","","","",""
"945","","","","las","","SIL","I","","","Lama (Togo)","","L",,"las",,"SIL","","Niger-Kordofanian","Lama (Togo)","false","las","A","","","",""
"946","","","","kzr","","SIL","I","","","Karang","","L",,"kzr",,"SIL","","Niger-Kordofanian","Karang","false","kzr","A","","","",""
"947","","","","gng","","SIL","I","","Niger-Kordofanian","Ngangam","","L",,"gng",,"SIL","","Niger-Kordofanian","Ngangam","false","gng","A","","","",""
"948","","","","gcr","","SIL","I","","","Guianese Creole French","","L",,"gcr",,"SIL","","Creoles and pidgins","Guianese Creole French","false","gcr","A","","","",""
"949","","","","gcf","","SIL","I","","","Guadeloupean Creole French","","L",,"gcf",,"SIL","","Other","Guadeloupean Creole French","false","gcf","A","","","",""
"950","","","","dos","","SIL","I","","","Dogosé","","L",,"dos",,"SIL","","Niger-Kordofanian","Dogosé","false","dos","A","","","",""
"951","","","","cme","","SIL","I","","","Cerma","","L",,"cme",,"SIL","","Niger-Kordofanian","Cerma","false","cme","A","","","",""
"952","","","","box","","SIL","I","","","Buamu","","L",,"box",,"SIL","","Niger-Kordofanian","Buamu","false","box","A","","","",""
"953","","","","beh","","SIL","I","","","Biali","","L",,"beh",,"SIL","","Niger-Kordofanian","Biali","false","beh","A","","","",""
"954","","smn","","smn","","SIL","I","","","Inari Sami","","L",,"smn",,"JAC","","Uralic","Inari Sami","false","smn","A","","","",""
"955","se","sme","","sme","","SIL","I","urj","Uralic","Northern Sami","Northern Sami","L","4.301029995663981","sme","0.02","JAC","urj","Uralic","Northern Sami","false","sme","A","","urj","Uralic","se"
