source	target	exposure
bel	lit	30
ita	epo	3
spa	mtp	3
slk	mol	20
fin	nld	59
eng	kqe	9
slk	spa	23
eng	glg	432
nld	urd	3
bak	kir	3
jpn	uig	5
est	nor	16
slk	uzb	2
grc	wap	3
tuk	mar	3
pro	est	1
dan	tha	3
uzb	lit	9
nld	kor	48
tuk	tel	1
por	ben	1
gul	eng	1
deu	swa	5
ron	rom	2
akk	swe	3
ita	kat	22
kan	tam	27
swe	jpn	602
ita	nld	1753
cat	hun	16
fra	urd	11
tel	ori	2
ron	bul	76
dar	kat	1
fin	hin	1
ron	ara	6
eng	vag	2
ces	nor	106
msa	hun	2
abk	kbd	2
nog	kir	1
hbs	kat	6
dts	fra	1
san	fra	269
tha	deu	16
por	lat	8
yid	fin	10
kan	pan	4
bel	lav	15
ncz	eng	1
rus	pol	3370
aka	fra	1
cot	spa	1
grc	sok	2
wmt	eng	3
slk	zho	1
gmh	swe	5
pao	eng	1
grc	plw	1
amh	deu	12
non	nld	6
rus	lbe	60
mon	jpn	19
zho	uig	841
aze	ukr	29
ita	hbs	2836
hin	tel	42
rus	abk	88
que	nld	2
tgk	uig	1
ell	bre	6
isl	ita	17
syr	rus	10
mol	lav	9
heb	cni	1
ori	ben	33
isl	zho	5
kon	nld	1
bel	eng	94
uzb	zho	1
dan	kur	16
deu	mos	1
grc	tuk	2
pro	eus	1
eng	agt	7
wlm	fra	1
por	ell	67
ces	jpn	188
pli	tha	1
arn	spa	5
jpn	slk	21
yus	eng	1
mal	urd	1
tha	dan	4
kdd	eng	1
dan	kaa	1
deu	amh	5
hau	eng	6
eng	kdh	1
enm	ces	1
ava	guj	2
eng	nep	8
grc	tpm	1
swe	tha	5
frm	ces	3
sqi	hun	8
ukr	khm	3
ara	glg	4
ell	hun	51
por	uzb	3
spa	ukr	45
nor	bul	47
yid	mon	1
fra	pbi	4
sqi	cat	9
jpn	iku	1
lmw	eng	1
swe	roh	5
xal	tat	1
grc	fra	2125
grc	any	3
jpn	tgk	1
hun	chv	1
rus	krl	2
ben	asm	62
san	guj	43
sah	ukr	2
est	mol	14
fra	hbs	4862
hbs	dar	1
grc	log	3
nld	ell	73
ara	kor	21
mzs	por	1
hun	tuk	4
mkd	chu	1
myv	fin	1
chm	fin	2
sah	bel	1
tuk	bla	1
fas	ita	53
epo	dan	1
slh	eng	1
