Final_Code	Final_Name	Status	Partner_Agency	639_3	639_2	639_2_B	639_1	Common_Twitter_Wiki_Code	Twitter_CLD_Only_Code	Wiki_Only_Code	Reference_Name	Element_Scope	Language_Type	Documentation
aka	Akan	A	JAC	twi	twi		tw	tw			Twi	I	L	
akb	Batak Angkola	A	SIL	akb							Batak Angkola	I	L	SIL
akc	Mpur	A	SIL	akc							Mpur	I	L	SIL
akd	Ukpet-Ehom	A	SIL	akd							Ukpet-Ehom	I	L	SIL
ake	Akawaio	A	SIL	ake							Akawaio	I	L	SIL
akf	Akpa	A	SIL	akf							Akpa	I	L	SIL
akg	Anakalangu	A	SIL	akg							Anakalangu	I	L	SIL
akh	Angal Heneng	A	SIL	akh							Angal Heneng	I	L	SIL
aki	Aiome	A	SIL	aki							Aiome	I	L	SIL
akj	Aka-Jeru	A	SIL	akj							Aka-Jeru	I	E	SIL
akk	Akkadian	A	JAC	akk	akk						Akkadian	I	A	LL
akl	Aklanon	A	SIL	akl							Aklanon	I	L	SIL
akm	Aka-Bo	A	SIL	akm							Aka-Bo	I	E	SIL
akn	Amikoana	R	SIL	akn							Amikoana	I	L	
ako	Akurio	A	SIL	ako							Akurio	I	L	SIL
akp	Siwu	A	SIL	akp							Siwu	I	L	SIL
akq	Ak	A	SIL	akq							Ak	I	L	SIL
akr	Araki	A	SIL	akr							Araki	I	L	SIL
aks	Akaselem	A	SIL	aks							Akaselem	I	L	SIL
akt	Akolet	A	SIL	akt							Akolet	I	L	SIL
aku	Akum	A	SIL	aku							Akum	I	L	SIL
akv	Akhvakh	A	SIL	akv							Akhvakh	I	L	SIL
akw	Akwa	A	SIL	akw							Akwa	I	L	SIL
akx	Aka-Kede	A	SIL	akx							Aka-Kede	I	E	SIL
